pname,pmass,pradius
WASP-21 b,95.34839999999998,11.99363
WASP-55 b,193.87507999999997,14.90797
KPS-1 b,346.43252,11.54527
CoRoT-9 b,266.97551999999996,11.948794
HAT-P-29 b,279.68863999999996,13.114529999999998
HAT-P-28 b,198.96032799999998,13.585308
HAT-P-39 b,190.37897199999998,17.609339
WASP-49 b,117.59635999999999,12.44199
WASP-160 B b,88.356184,12.21781
Qatar-7 b,597.5166399999999,19.0553
WASP-120 b,1541.4657999999997,16.510857
LHS 1140 b,6.979502879999999,1.726186
HATS-6 b,101.387132,11.186582
HD 189733 b,359.14563999999996,12.66617
KOI-94 c,15.573571999999999,4.315465
WASP-90 b,200.23164,18.27067
Kepler-62 c,4.1317639999999995,0.538032
KELT-10 b,215.805212,15.681391
HD 219134 c,4.36060016,1.513215
TOI-125 b,9.499878919999999,2.7237869999999997
HATS-47 b,117.27853199999998,12.520453
WASP-85 A b,402.0524199999999,13.89916
HATS-32 b,292.40175999999997,14.000041000000001
WASP-130 b,390.92843999999997,9.97601
Kepler-177 b,5.838500359999999,3.497208
HAT-P-13 b,270.47162799999995,14.257848
Kepler-24 c,508.52479999999997,2.80225
Kepler-30 b,11.441807999999998,3.9007319999999996
KOI-142 b,9.534839999999999,3.441163
GU Psc b,3591.4564,14.179384999999998
KOI-13 b,2949.4438399999995,16.948007999999998
Kepler-60 b,4.18897304,1.714977
Kepler-289 d,4.1317639999999995,2.6789509999999996
Kepler-307 b,7.44035348,2.432353
WASP-47 e,6.830123719999999,1.804649
WASP-42 b,167.495356,12.576498
WASP-38 b,1093.3283199999998,13.78707
K2-146 c,7.49438424,2.185755
EPIC 246851721 b,953.4839999999999,11.780658999999998
GJ 9827 b,4.9104426,1.580469
Wendelstein-2 b,232.33226799999997,12.991230999999999
WASP-176 b,271.74294,16.869545
WASP-145 A b,282.86692,10.0881
TOI-132 b,22.400517439999998,3.418745
KELT-16 b,874.0269999999999,15.860735
TOI-824 b,18.4658068,2.925549
NGTS-9 b,921.7011999999999,11.99363
Kepler-117 c,584.8035199999999,12.341109
HAT-P-24 b,238.37099999999998,14.5717
Kepler-26 c,6.200824279999999,2.7237869999999997
Kepler-43 b,1026.5844399999999,13.663771
Kepler-55 b,473.56371999999993,2.432353
Kepler-396 b,75.643064,3.497208
Kepler-416 b,58.16252399999999,2.477189
SWEEPS-11 b,3082.9315999999994,12.66617
WASP-13 b,114.41807999999999,13.67498
WASP-28 b,288.269996,13.596517
HATS-67 b,460.85059999999993,18.887165
TOI-561 b,1.58914,1.423543
K2-77 b,603.8731999999999,2.2978449999999997
WASP-164 b,676.9736399999999,12.643752
TOI-1728 b,26.78018728,5.055259
NGTS-4 b,20.598432680000002,3.1833559999999994
TOI-251 b,317.828,2.7349959999999998
HAT-P-25 b,180.84413199999997,12.722215
Kepler-117 b,29.875832,8.059270999999999
Kepler-102 e,8.899184,2.219382
Kepler-102 d,3.813936,1.176945
TRAPPIST-1 c,1.37937352,1.0536459999999999
HAT-P-50 b,429.0678,14.437192
HAT-P-57 b,448.1374799999999,19.50366
Kepler-11 g,25.108411999999998,3.3290729999999997
Kepler-59 c,435.42436,1.983993
Kepler-434 b,908.9880799999999,12.66617
WASP-95 b,457.67231999999996,13.78707
K2-66 b,21.300832559999996,2.488398
HD 106315 b,12.59870192,2.443562
Kepler-1661 b,17.00061972,3.8671049999999996
WASP-53 b,677.609296,12.038466
HAT-P-22 b,785.03516,12.890349999999998
HIP 116454 b,12.71312,2.46598
Kepler-106 b,5.301371039999999,0.8182569999999999
Kepler-11 f,1.906968,2.488398
Kepler-37 c,12.00118528,0.751003
HAT-P-55 b,184.97589599999998,13.249037999999999
OGLE-TR-132 b,375.03703999999993,13.4508
K2-238 b,273.33207999999996,14.5717
K2-232 b,126.495544,11.209
K2-266 d,8.899184,2.925549
WASP-165 b,209.130824,14.123339999999999
WASP-91 b,425.88952,11.54527
LTT 3780 b,2.61890272,1.3338709999999998
BD+20 594 b,22.24796,2.57807
HAT-P-27 b,197.05335999999997,11.43318
HAT-P-42 b,331.812432,14.34752
Kepler-92 c,6.0387319999999995,2.600488
Kepler-103 c,36.232392,5.144931
HATS-10 b,167.177528,10.861521
Kepler-82 c,13.898618439999998,5.335483999999999
K2-24 c,15.398766599999998,7.498821
Kepler-328 b,28.604519999999997,2.2978449999999997
WASP-32 b,835.8876399999999,10.760639999999999
TOI-905 b,211.991276,13.125739
TOI-776 c,5.301371039999999,2.01762
GJ 1252 b,2.0913082399999996,1.188154
HATS-55 b,292.719588,14.022458999999998
K2-216 b,7.999730759999999,1.748604
