pname,pmass,pradius,smass,steff
WASP-130 b,390.92843999999997,9.97601,1.04,5625.0
Kepler-177 b,5.838500359999999,3.497208,0.92,5732.0
HAT-P-13 b,270.47162799999995,14.257848,1.22,5653.0
Kepler-30 b,11.441807999999998,3.9007319999999996,0.99,5498.0
KOI-142 b,9.534839999999999,3.441163,0.99,5466.0
KOI-13 b,2949.4438399999995,16.948007999999998,1.72,7650.0
Kepler-60 b,4.18897304,1.714977,1.04,5905.0
Kepler-289 d,4.1317639999999995,2.6789509999999996,1.08,5990.0
Kepler-307 b,7.44035348,2.432353,0.91,5367.0
WASP-47 e,6.830123719999999,1.804649,1.04,5552.0
WASP-42 b,167.495356,12.576498,0.95,5315.0
WASP-38 b,1093.3283199999998,13.78707,1.76,6180.0
K2-146 c,7.49438424,2.185755,0.33,3385.0
EPIC 246851721 b,953.4839999999999,11.780658999999998,1.32,6202.0
GJ 9827 b,4.9104426,1.580469,0.61,4340.0
Wendelstein-2 b,232.33226799999997,12.991230999999999,0.73,4591.0
WASP-176 b,271.74294,16.869545,1.34,5941.0
WASP-145 A b,282.86692,10.0881,0.76,4900.0
TOI-132 b,22.400517439999998,3.418745,0.97,5397.0
KELT-16 b,874.0269999999999,15.860735,1.21,6236.0
TOI-824 b,18.4658068,2.925549,0.71,4600.0
NGTS-9 b,921.7011999999999,11.99363,1.34,6330.0
Kepler-117 c,584.8035199999999,12.341109,1.13,6150.0
HAT-P-24 b,238.37099999999998,14.5717,1.37,6373.0
Kepler-26 c,6.200824279999999,2.7237869999999997,0.54,3914.0
Kepler-43 b,1026.5844399999999,13.663771,1.32,6041.0
WASP-13 b,114.41807999999999,13.67498,0.72,5950.0
WASP-28 b,288.269996,13.596517,1.02,6150.0
HATS-67 b,460.85059999999993,18.887165,1.44,6594.0
TOI-561 b,1.58914,1.423543,0.79,5455.0
K2-77 b,603.8731999999999,2.2978449999999997,0.8,4970.0
WASP-164 b,676.9736399999999,12.643752,0.95,5806.0
TOI-1728 b,26.78018728,5.055259,0.65,3980.0
NGTS-4 b,20.598432680000002,3.1833559999999994,0.75,5143.0
TOI-251 b,317.828,2.7349959999999998,1.04,5875.0
HAT-P-25 b,180.84413199999997,12.722215,1.01,5519.0
Kepler-117 b,29.875832,8.059270999999999,1.13,6150.0
Kepler-102 e,8.899184,2.219382,0.81,4909.0
Kepler-102 d,3.813936,1.176945,0.81,4909.0
TRAPPIST-1 c,1.37937352,1.0536459999999999,0.08,2559.0
HAT-P-50 b,429.0678,14.437192,1.27,6280.0
HAT-P-57 b,448.1374799999999,19.50366,2.77,6330.0
Kepler-11 g,25.108411999999998,3.3290729999999997,0.96,5663.0
Kepler-59 c,435.42436,1.983993,1.04,6074.0
Kepler-434 b,908.9880799999999,12.66617,1.2,5977.0
WASP-95 b,457.67231999999996,13.78707,1.46,5830.0
K2-66 b,21.300832559999996,2.488398,1.11,5887.0
HD 106315 b,12.59870192,2.443562,1.09,6327.0
Kepler-1661 b,17.00061972,3.8671049999999996,0.84,5100.0
WASP-53 b,677.609296,12.038466,0.84,4953.0
HAT-P-22 b,785.03516,12.890349999999998,1.13,5302.0
HIP 116454 b,12.71312,2.46598,0.81,5089.0
Kepler-106 b,5.301371039999999,0.8182569999999999,1.0,5858.0
Kepler-11 f,1.906968,2.488398,0.96,5663.0
Kepler-37 c,12.00118528,0.751003,0.87,5417.0
HAT-P-55 b,184.97589599999998,13.249037999999999,1.01,5808.0
OGLE-TR-132 b,375.03703999999993,13.4508,1.3,6210.0
K2-238 b,273.33207999999996,14.5717,1.19,5630.0
